Date,Open_WYNN,High_WYNN,Low_WYNN,Close_WYNN,Volume_WYNN,AdjClose_WYNN
2015-06-08,105.970001,106.260002,102.349998,102.400002,4158300,100.019789
2015-06-09,102.199997,103.25,101.480003,102.279999,2060100,99.902576
2015-06-10,102.540001,103.93,101.529999,103.220001,1997700,100.820728
2015-06-11,103.480003,104.580002,102.309998,104.449997,1374000,102.022134
2015-06-12,103.809998,104.239998,102.300003,102.790001,1490600,100.400723
2015-06-15,101.830002,103.699997,101.790001,102.790001,1287000,100.400723
2015-06-16,102.150002,103.839996,101.629997,102.82,1823800,100.430025
2015-06-17,103.389999,104.580002,102.449997,104.260002,1302100,101.836555
2015-06-18,104.440002,106.860001,104.440002,105.260002,1513300,102.813311
2015-06-19,105.389999,105.470001,102.82,103.110001,2849400,100.713285
2015-06-22,103.5,103.870003,100.529999,100.949997,1688200,98.603489
2015-06-23,100.339996,100.739998,97.760002,100.260002,3518200,97.929532
2015-06-24,99.910004,100.239998,97.970001,98.209999,2292500,95.92718
2015-06-25,98.730003,99.0,97.809998,97.989998,1540100,95.712293
2015-06-26,97.779999,97.93,96.290001,96.5,2347500,94.256929
2015-06-29,93.779999,95.989998,93.589996,93.93,3082700,91.746667
2015-06-30,95.900002,100.239998,95.360001,98.669998,4440000,96.376487
2015-07-01,102.889999,107.269997,102.449997,103.07,4545000,100.674214
2015-07-02,104.139999,105.0,102.43,103.540001,3017700,101.13329
2015-07-06,102.230003,104.970001,102.089996,103.879997,2235400,101.465383
2015-07-07,104.349998,112.0,103.220001,111.349998,4679300,108.76175
2015-07-08,108.620003,109.5,103.809998,104.139999,3677900,101.719342
2015-07-09,106.260002,109.050003,104.809998,105.199997,2685100,102.754701
2015-07-10,106.779999,106.980003,103.519997,103.900002,2411700,101.484923
2015-07-13,108.809998,110.309998,107.279999,107.889999,3514000,105.382176
2015-07-14,107.599998,108.739998,106.57,107.260002,1850500,104.766823
2015-07-15,107.129997,107.129997,102.449997,103.419998,2095100,101.016077
2015-07-16,104.419998,104.879997,102.760002,103.800003,1161900,101.387249
2015-07-17,103.800003,103.879997,101.529999,101.709999,1522800,99.345825
2015-07-20,101.160004,102.0,99.849998,100.019997,1711100,97.695106
2015-07-21,100.089996,102.089996,99.849998,101.419998,1287400,99.062565
2015-07-22,100.919998,101.879997,99.699997,101.25,1727300,98.896518
2015-07-23,104.199997,105.650002,103.010002,104.300003,2655700,101.875626
2015-07-24,104.839996,104.839996,101.449997,102.43,1641000,100.049091
2015-07-27,100.029999,101.260002,98.099998,99.230003,2229300,96.923475
2015-07-28,98.889999,99.989998,97.379997,98.010002,2623600,95.731832
2015-07-29,98.169998,99.800003,95.870003,96.029999,4079600,93.797852
2015-07-30,99.239998,104.699997,99.010002,104.120003,5069300,101.69981
2015-07-31,103.919998,105.43,101.809998,103.230003,2847300,100.830498
2015-08-03,103.099998,103.720001,100.0,100.800003,2355400,98.456981
2015-08-04,101.099998,102.300003,99.330002,100.300003,1819000,97.968604
2015-08-05,101.010002,103.709999,100.800003,101.269997,1776900,98.91605
2015-08-06,100.720001,102.610001,99.989998,100.699997,1818500,98.3593
2015-08-07,100.43,103.779999,100.419998,103.139999,1967900,101.245296
2015-08-10,104.870003,104.989998,102.699997,104.0,2365300,102.089498
2015-08-11,102.0,102.139999,98.610001,99.529999,2669000,97.701612
2015-08-12,97.220001,97.839996,94.129997,97.449997,2760000,95.65982
