Date,Open_LMT,High_LMT,Low_LMT,Close_LMT,Volume_LMT,AdjClose_LMT
2015-06-08,189.339996,190.830002,189.059998,189.369995,964800,183.948927
2015-06-09,190.429993,190.539993,189.300003,189.350006,1041200,183.92951
2015-06-10,189.350006,190.649994,188.839996,189.279999,1729300,183.861507
2015-06-11,189.419998,191.539993,189.419998,191.479996,1333100,185.998525
2015-06-12,190.589996,191.529999,190.220001,190.979996,1110100,185.512838
2015-06-15,190.0,190.580002,189.009995,189.919998,710600,184.483185
2015-06-16,189.259995,191.139999,188.889999,190.820007,853800,185.35743
2015-06-17,191.360001,191.779999,189.720001,191.020004,862100,185.551702
2015-06-18,191.5,194.490005,191.389999,192.75,1159700,187.232173
2015-06-19,192.690002,192.690002,190.990005,191.139999,1234900,185.668262
2015-06-22,191.949997,192.979996,191.660004,192.080002,716800,186.581355
2015-06-23,192.429993,192.949997,190.880005,191.639999,572900,186.153948
2015-06-24,191.220001,191.789993,190.119995,190.169998,857600,184.726028
2015-06-25,190.5,191.169998,189.679993,189.990005,884900,184.551188
2015-06-26,190.529999,190.559998,188.509995,188.639999,1876300,183.239829
2015-06-29,187.589996,188.520004,185.410004,185.520004,1202600,180.209149
2015-06-30,187.169998,187.789993,185.330002,185.899994,1275200,180.578261
2015-07-01,186.009995,188.289993,186.009995,188.169998,950000,182.783282
2015-07-02,188.710007,188.789993,186.759995,187.300003,1024500,181.938192
2015-07-06,186.729996,188.479996,186.419998,187.990005,902600,182.608442
2015-07-07,188.570007,190.279999,187.539993,190.160004,1328500,184.71632
2015-07-08,188.509995,191.330002,188.289993,190.050003,1528200,184.609468
2015-07-09,191.759995,193.119995,191.210007,192.130005,1442100,186.629926
2015-07-10,193.990005,197.0,192.869995,194.190002,1638900,188.630953
2015-07-13,196.0,198.389999,195.610001,197.880005,1197200,192.215322
2015-07-14,198.899994,199.820007,198.360001,199.050003,1059200,193.351827
2015-07-15,199.190002,199.639999,198.059998,199.410004,972200,193.701522
2015-07-16,199.800003,201.809998,199.600006,201.619995,975600,195.848248
2015-07-17,200.929993,201.660004,200.399994,201.179993,997900,195.420841
2015-07-20,202.309998,205.389999,201.029999,205.130005,2052000,199.257777
2015-07-21,204.440002,204.759995,202.850006,203.149994,1767000,197.334448
2015-07-22,203.330002,204.440002,202.0,202.789993,1124200,196.984753
2015-07-23,202.809998,204.960007,202.639999,202.830002,1175100,197.023616
2015-07-24,202.800003,202.940002,200.679993,201.039993,1124800,195.28485
2015-07-27,200.360001,201.759995,199.380005,201.169998,997600,195.411133
2015-07-28,202.419998,204.720001,201.279999,203.630005,1125300,197.800717
2015-07-29,204.770004,210.410004,204.309998,208.149994,2491000,202.191313
2015-07-30,207.220001,208.5,205.949997,206.470001,1554700,200.559414
2015-07-31,207.610001,208.509995,206.529999,207.100006,1116800,201.171383
2015-08-03,207.270004,207.990005,206.059998,207.789993,1064200,201.841618
2015-08-04,208.509995,209.789993,207.25,209.529999,1066100,203.531813
2015-08-05,210.020004,210.75,209.070007,209.429993,1209900,203.43467
2015-08-06,209.729996,209.940002,208.160004,209.259995,1147900,203.269538
2015-08-07,209.0,209.389999,207.220001,209.089996,997500,203.104406
2015-08-10,210.039993,211.570007,209.339996,210.779999,978500,204.746029
2015-08-11,209.050003,209.759995,207.899994,208.860001,985800,202.880995
2015-08-12,207.539993,209.320007,206.75,208.779999,917900,202.803283
2015-08-13,208.729996,210.710007,208.690002,209.789993,1091200,203.784365
2015-08-14,209.75,212.080002,209.330002,211.960007,916000,205.892257
2015-08-17,210.880005,213.119995,210.770004,213.020004,776300,206.921911
2015-08-18,212.360001,213.339996,212.139999,212.669998,774500,206.581924
2015-08-19,211.960007,212.910004,210.669998,211.279999,1302600,205.231716
2015-08-20,210.979996,211.5,209.130005,209.130005,1405700,203.14327
2015-08-21,208.559998,208.839996,204.570007,204.679993,2038500,198.820647
2015-08-24,190.009995,203.270004,181.910004,197.460007,3308700,191.807347
2015-08-25,205.5,205.509995,198.550003,198.979996,2100600,193.283823
2015-08-26,203.229996,203.229996,196.850006,202.119995,2933800,196.333934
2015-08-27,203.919998,206.940002,202.910004,205.429993,1688100,199.549177
2015-08-28,203.630005,204.479996,201.380005,203.899994,1391200,199.519828
2015-08-31,203.210007,203.240005,201.080002,201.179993,1086800,196.858258
2015-09-01,197.869995,199.589996,197.020004,197.619995,1673700,193.374736
2015-09-02,199.690002,204.119995,199.279999,204.039993,1490600,199.65682
2015-09-03,204.690002,206.460007,204.320007,205.199997,1350900,200.791905
2015-09-04,203.539993,204.339996,201.410004,202.619995,1213100,198.267326
2015-09-08,204.179993,207.289993,204.0,207.009995,1320700,202.56302
2015-09-09,209.0,209.240005,204.520004,204.660004,1110300,200.263512
2015-09-10,203.710007,207.289993,203.710007,206.149994,1370200,201.721494
2015-09-11,205.809998,206.960007,205.330002,206.809998,1085500,202.367319
2015-09-14,207.029999,207.029999,205.559998,206.0,1034300,201.574722
2015-09-15,206.380005,208.539993,205.509995,207.839996,1253700,203.375192
2015-09-16,207.639999,208.190002,206.330002,207.559998,927800,203.101208
2015-09-17,207.850006,210.529999,207.130005,207.600006,958900,203.140357
2015-09-18,206.0,206.029999,202.649994,203.309998,3010600,198.942506
2015-09-21,204.350006,205.789993,203.190002,204.350006,964700,199.960173
2015-09-22,202.460007,203.970001,201.5,203.660004,1119200,199.284993
2015-09-23,204.130005,204.990005,201.710007,202.770004,601100,198.414113
2015-09-24,201.5,205.889999,199.559998,204.759995,1667600,200.361354
2015-09-25,206.740005,206.779999,203.0,203.889999,1414000,199.510048
2015-09-28,202.550003,204.440002,200.0,200.220001,1315400,195.918889
2015-09-29,200.0,202.919998,199.009995,202.470001,1226600,198.120555
2015-09-30,204.339996,207.710007,204.229996,207.309998,1721800,202.856578
2015-10-01,206.309998,207.339996,202.820007,204.75,1889700,200.351575
2015-10-02,202.009995,206.610001,201.809998,206.610001,1154800,202.171619
2015-10-05,208.300003,211.860001,207.699997,211.729996,1347600,207.181627
2015-10-06,211.699997,212.649994,210.270004,210.399994,1625700,205.880196
2015-10-07,211.789993,214.020004,211.039993,212.949997,1122200,208.37542
2015-10-08,212.279999,214.660004,211.339996,214.369995,782100,209.764914
2015-10-09,214.440002,216.270004,213.220001,213.259995,1340000,208.678758
2015-10-12,213.610001,214.630005,212.759995,214.330002,1048100,209.725779
2015-10-13,213.220001,214.360001,211.940002,211.979996,1026200,207.426256
